Title,DOI,WOS,ISBN,Author,ISIRed,ISIYellow,PublicationYear,PublicationType
Cloud Computing Security Challenges,10.3172/11261.7063,WOS:984145278,978-356-35959-585-4,Paul,True,False,2021,Articol
Mobile Application Development Trends,10.3335/70395.4776,WOS:368289517,978-116-19898-578-8,Paul,True,True,2023,Articol
Artificial Intelligence in Healthcare,10.7486/39094.6840,WOS:632455570,978-164-37135-448-2,Paul,False,False,2021,Conferinta
Database Optimization Techniques,10.8195/89181.8679,WOS:488056709,978-176-19683-777-0,Paul,True,False,2023,Carte
Cloud Computing Security Challenges,10.3306/62604.9741,WOS:720587630,978-561-58596-481-5,Paul,True,True,2020,Conferinta
Natural Language Processing Methods,10.8616/53514.5093,WOS:137404865,978-113-95091-684-7,Paul,True,True,2022,Capitol
Blockchain Technology in Financial Systems,10.2126/71973.3375,WOS:600723639,978-599-76634-509-2,Paul,True,False,2020,Articol
Natural Language Processing Methods,10.7389/35824.5362,WOS:556475464,978-606-77387-834-4,Dan,False,True,2020,Capitol
Mobile Application Development Trends,10.4732/49379.7444,WOS:498981273,978-708-46675-956-4,Dan,False,True,2022,Conferinta
Big Data Analytics Frameworks,10.3097/76595.5812,WOS:444587837,978-945-36168-509-7,Dan,True,True,2021,Capitol
Cybersecurity Threats and Countermeasures,10.3643/35924.1408,WOS:831119912,978-810-53115-986-8,Dan,False,False,2023,Revista
Internet of Things Security Protocols,10.7852/81540.4268,WOS:872298147,978-197-68047-859-3,Dan,True,True,2024,Carte
Artificial Intelligence in Healthcare,10.1069/99579.6620,WOS:318403855,978-696-68117-893-2,Dan,False,True,2020,Revista
Software Engineering Best Practices,10.5923/44656.6495,WOS:810696036,978-486-30781-200-0,Robert,True,True,2020,Capitol
Cybersecurity Threats and Countermeasures,10.6778/37883.3406,WOS:838050264,978-282-40300-760-6,Robert,False,True,2024,Articol
Deep Learning for Image Recognition,10.3689/51333.9389,WOS:212854425,978-318-65915-782-1,Robert,True,False,2022,Revista
Cloud Computing Security Challenges,10.4986/76856.5600,WOS:447680861,978-421-17511-934-1,Robert,False,False,2020,Capitol
Software Engineering Best Practices,10.2930/10269.2284,WOS:934861219,978-376-92039-388-0,Robert,False,False,2022,Revista
Blockchain Technology in Financial Systems,10.3909/58903.5729,WOS:669369341,978-199-14378-264-4,Robert,True,True,2021,Articol
Artificial Intelligence in Healthcare,10.5438/36570.6829,WOS:276925902,978-202-60047-923-4,Robert,False,False,2021,Capitol
Quantum Computing Applications in Cryptography,10.3180/46620.8058,WOS:455341408,978-859-21765-637-4,Robert,True,True,2024,Articol
